eval_wallclock,iteration,exploitability
2025-11-02T20:24:57,0,5.757407
2025-11-02T20:24:57,50,5.932338
2025-11-02T20:24:58,100,6.435896
2025-11-02T20:24:58,150,5.759227
2025-11-02T20:24:58,200,5.626950
2025-11-02T20:24:58,250,5.333340
2025-11-02T20:24:58,300,5.277312
2025-11-02T20:24:59,350,4.948364
2025-11-02T20:24:59,400,4.813560
2025-11-02T20:24:59,450,4.765141
2025-11-02T20:24:59,500,4.734243
2025-11-02T20:24:59,550,4.771395
2025-11-02T20:25:00,600,4.795055
2025-11-02T20:25:00,650,4.815676
2025-11-02T20:25:00,700,4.842080
2025-11-02T20:25:00,750,4.863626
2025-11-02T20:25:01,800,4.854702
2025-11-02T20:25:01,850,4.873430
2025-11-02T20:25:01,900,4.901958
2025-11-02T20:25:01,950,4.947819
2025-11-02T20:25:01,1000,4.980876
