Iteration,Exploitability_Current,Exploitability_SDCFR,VS_Random,VS_Always_Call,VS_Always_Raise
0,5.722506,N/A,-0.410000,-1.440000,-1.060000
50,8.512996,N/A,1.060000,-0.060000,1.980000
100,7.024710,7.123330,1.470000,-0.070000,5.260000
150,6.574708,7.254097,1.530000,0.030000,1.930000
200,6.397643,7.091712,1.870000,0.040000,2.590000
250,6.098199,6.537573,1.300000,-0.070000,2.760000
300,5.683083,5.849321,1.580000,0.470000,1.670000
350,5.259694,5.376328,1.480000,-0.410000,1.070000
400,4.956243,5.046739,1.210000,-0.310000,1.410000
450,4.735305,4.805547,1.330000,0.870000,0.840000
500,4.605375,4.657487,1.320000,1.190000,1.970000
550,4.503575,4.587557,1.960000,1.700000,2.290000
600,4.477304,4.513290,1.220000,1.190000,2.800000
650,4.413778,4.472265,1.570000,1.110000,1.840000
700,4.356609,4.434317,1.950000,1.280000,1.310000
750,4.348433,4.399517,0.580000,0.450000,2.130000
800,4.311307,4.379424,0.200000,1.370000,0.680000
850,4.300822,4.361863,0.490000,1.150000,1.080000
900,4.303394,4.339251,0.760000,0.280000,1.760000
950,4.281977,4.285615,1.530000,2.270000,1.140000
1000,4.211919,4.204526,0.060000,0.950000,0.270000
